ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
15416,CS,1010,001,Lecture,3,Staff,MoWe 3:30pm - 4:45pm,Mechanical Engr Bldg 205,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Introduction to Information Technology,,Open,0,90,0,"How computers create, preserve, manipulate and communicate information and the concepts and tools used to that end. Units include how computers work, web technologies, creating web pages, algorithms and logic, basic programming, and solving problems with spreadsheets. Students will learn to recognize computational problems and develop basic skill sets to solve future problems in their discipline of study. No prior programming experience required. Cannot be taken for credit by students in SEAS."
15402,CS,1110,001,Lecture,3,Raymond Pettit,MoWeFr 2:00pm - 2:50pm,TBA,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Introduction to Programming,,Open,0,170,0,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15412,CS,1110,002,Lecture,3,Raymond Pettit,MoWeFr 12:00pm - 12:50pm,McLeod Hall 1020,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Introduction to Programming,,Open,0,170,0,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
16291,CS,1110,003,Lecture,3,Luther Tychonievich,MoWeFr 10:00am - 10:50am,Olsson Hall 120,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Introduction to Programming,,Open,0,130,0,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15403,CS,1110,100,Laboratory,0,Raymond Pettit,Th 9:30am - 10:45am,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Introduction to Programming,,Open,0,80,0,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15404,CS,1110,101,Laboratory,0,Raymond Pettit,Th 11:00am - 12:15pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Introduction to Programming,,Open,0,80,0,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15405,CS,1110,102,Laboratory,0,Raymond Pettit,Th 12:30pm - 1:45pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Introduction to Programming,,Open,0,80,0,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15406,CS,1110,103,Laboratory,0,Raymond Pettit,Th 2:00pm - 3:15pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Introduction to Programming,,Open,0,80,0,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15407,CS,1110,104,Laboratory,0,Raymond Pettit,Th 3:30pm - 4:45pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Introduction to Programming,,Open,0,80,0,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15408,CS,1110,105,Laboratory,0,Raymond Pettit,Th 5:00pm - 6:15pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Introduction to Programming,,Open,0,80,0,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
15409,CS,1110,106,Laboratory,0,Raymond Pettit,Th 6:30pm - 7:45pm,Olsson Hall 018,01/19/2022 - 05/03/2022,,,,,,,,,,,,,Introduction to Programming,,Open,0,80,0,"A first course in programming, software development, and computer science. Introduces computing fundamentals and an appreciation for computational thinking. No previous programming experience required. Note: CS 1110, 1111, 1112, 1113, and 1120 provide different approaches to teaching the same core material; students may only receive credit for one of these courses."
